2.10E-01,9.87E-04
3.03E-01,1.70E-03
3.91E-01,2.42E-03
4.84E-01,3.13E-03
5.56E-01,3.84E-03
6.04E-01,4.56E-03
6.51E-01,5.99E-03
6.91E-01,7.41E-03
7.14E-01,8.84E-03
7.28E-01,1.03E-02
7.32E-01,1.31E-02
7.32E-01,1.60E-02
7.27E-01,1.88E-02
7.24E-01,2.17E-02
7.11E-01,2.59E-02
7.11E-01,3.02E-02
7.10E-01,3.44E-02
6.94E-01,4.87E-02
6.82E-01,6.30E-02
6.73E-01,7.73E-02
6.71E-01,9.15E-02
6.69E-01,1.06E-01
6.73E-01,1.20E-01
6.72E-01,1.34E-01
6.77E-01,1.49E-01
6.82E-01,1.63E-01
6.86E-01,1.77E-01
6.86E-01,1.92E-01
6.90E-01,2.06E-01
6.92E-01,2.34E-01
6.97E-01,2.63E-01
6.98E-01,2.92E-01
6.86E-01,3.20E-01
6.79E-01,3.49E-01
6.70E-01,3.77E-01
